
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
 100 24 2018    0.00    4.81    0.00    3.80    3.74    0.00   -4.84    0.00   -0.36    0.00    0.00   12.83   146.2   -0.04
 101 24 2018    0.04    8.34    0.02    5.93    5.85    0.00   -8.36    0.00    0.75    0.00    0.00   14.60   152.2   -0.06
 102 24 2018    0.96    4.23    0.00    6.88    6.11    0.01   -3.53    0.00    0.76    0.01    0.00   11.48   159.1   -0.03
 103 24 2018    0.04    0.12    0.02    1.18    0.26   -0.01    0.00    0.00   -0.65    0.01    0.00   11.01   160.2   -0.04
 104 24 2018    1.00    3.18    0.04    3.45    2.29    0.01    0.00    0.00    0.30    0.01    0.00    8.21   163.7    0.01
 105 24 2018    0.96    2.26    0.02    5.10    4.04    0.00    0.00    0.00    0.45    0.00    0.00    3.66   168.8   -0.03
 106 24 2018    0.13    0.00    0.06    4.28    3.80   -0.01    0.00    0.00   -0.43    0.00    0.00    0.13   173.1   -0.23
 107 24 2018    2.88    2.24    0.00    4.62    2.35    0.00    0.56    0.00   -2.07    0.00    0.00    0.00   177.7   -0.04
 108 24 2018    0.00    0.48    0.00    3.83    3.38    0.00   -0.56    0.00   -3.25    0.00    0.00    0.00   181.5   -0.03
 109 24 2018    0.25    0.12    0.13    3.83    3.36    0.01    0.00    0.00   -3.75    0.00    0.00    0.12   185.4   -0.10
 110 24 2018    5.96    4.59    1.70    1.50    0.00    0.00    0.50    0.00    2.49    0.00    0.00    0.00   186.9    0.01
 111 24 2018    4.79    0.40    1.38    2.78    0.00    0.01    2.29    0.00    0.03    0.00    0.00    0.00   189.6    0.01
 112 24 2018    0.04    2.21    0.02    3.93    2.48    0.00   -2.80    0.00    0.48    0.00    0.00    0.02   193.6   -0.24
 113 24 2018    1.50    0.86    0.36    6.02    4.95    0.00    0.00    0.00   -5.00    0.00    0.00    0.20   199.6   -0.04
 114 24 2018   12.46    0.62    4.69    0.41    0.00   -0.01    7.97    0.00   -0.06    0.00    0.00    0.00   200.0    0.02
 115 24 2018    0.00    4.71    0.00    5.64    0.95    0.00   -4.59    0.00    3.63    0.00    0.00    0.00   205.6    0.01
 116 24 2018    0.00    2.73    0.00    2.61    2.56    0.00   -3.38    0.00    0.67    0.00    0.00    0.00   208.2    0.10
 117 24 2018    0.00    0.00    0.00    4.81    4.31    0.01    0.00    0.00   -4.78    0.00    0.00    0.00   213.0   -0.03
 118 24 2018    0.00    0.00    0.00    4.46    3.91    0.01    0.00    0.00   -4.45    0.00    0.00    0.00   217.5   -0.02
 119 24 2018    0.00    0.00    0.00    5.25    4.55   -0.01    0.00    0.00   -5.23    0.00    0.00    0.00   222.7   -0.01
 120 24 2018    0.08    0.04    0.04    4.55    3.79    0.01    0.00    0.00   -4.53    0.00    0.00    0.00   227.3    0.01
 121 24 2018    2.75    1.07    0.68    2.11    1.07    0.00    0.00    0.00   -0.31    0.00    0.00    0.33   229.4   -0.01
 122 24 2018   20.21    1.30    4.70    0.18    0.00    0.00   15.15    0.00    1.19    0.00    0.00    0.00   229.6    0.00
 123 24 2018   23.96    4.94    4.61    0.34    0.00    0.00   18.80    0.00    4.91    0.00    0.00    0.00   229.9    0.00
 124 24 2018    0.00    4.12    0.00    4.83    0.21    0.00   -4.10    0.00    3.89    0.00    0.00    0.00   234.7   -0.01
 125 24 2018    0.00   10.19    0.00    4.95    4.92    0.00  -10.17    0.00    5.24    0.00    0.00    0.00   239.7   -0.03
 126 24 2018    0.00    9.96    0.00    3.52    3.51    0.00   -9.91    0.00    6.42    0.00    0.00    0.00   243.2   -0.04
 127 24 2018    0.00    9.88    0.00    4.61    4.56    0.00   -9.77    0.00    4.79    0.20    0.00    0.00   247.8    0.18
 128 24 2018    0.00    0.00    0.00    6.06    5.37    0.00    0.00    0.00   -6.12    0.12    0.00    0.00   253.9   -0.06
 129 24 2018    0.00    0.00    0.00    5.90    5.09    0.00    0.00    0.00   -5.93    0.09    0.00    0.00   259.8   -0.06
 130 24 2018    0.04    0.00    0.02    6.19    5.35    0.01    0.00    0.00   -6.27    0.08    0.00    0.00   266.0    0.01
 131 24 2018    1.04    0.04    0.16    3.55    2.84    0.00    0.00    0.00   -2.72    0.07    0.00    0.00   269.5    0.01
 132 24 2018    2.38    0.04    0.58    2.23    0.98    0.00    0.00    0.00   -0.30    0.07    0.00    0.00   271.7   -0.04
 133 24 2018   10.58    1.14    3.80    2.38    0.00   -0.01    0.00    0.00    4.88    0.11    0.00    0.00   274.1    0.00
 134 24 2018    0.96    0.10    2.35    2.12    0.00    0.00    0.00    0.00   -0.07    0.35    0.00    0.00   276.2    0.01
 135 24 2018    0.00    0.00    0.00    3.85    1.10    0.00    0.00    0.00   -1.77    0.32    0.00    0.00   280.1   -0.04
 136 24 2018    0.00    0.00    0.00    5.92    5.02    0.00    0.00    0.00   -6.01    0.16    0.00    0.00   286.0   -0.07
 137 24 2018    0.04    0.00    0.02    6.28    5.19   -0.01    0.00    0.00   -6.23    0.04    0.00    0.00   292.3   -0.06
